Server	Update Name	Rating
vcorp100w	Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 for x64-based Systems (KB2633879)	Critical	
vcorp100w	Security Update for Windows Server 2008 R2 x64 Edition (KB2621440)	Critical	
vcorp100w	Security Update for Microsoft .NET Framework 4 on XP, Server 2003, Vista, Windows 7, Server 2008, Server 2008 R2 for x64 (KB2656351)	Critical	
vcorp100w	Security Update for Windows Server 2008 R2 x64 Edition (KB2665364)	Moderate	
vcorp100w	Security Update for Windows Server 2008 R2 x64 Edition (KB2645640)	Important	
vcorp100w	Security Update for Windows Server 2008 R2 x64 Edition (KB2667402)	Important	
vcorp100w	Security Update for Windows Server 2008 R2 x64 Edition (KB2643719)	Important	
vcorp100w	Security Update for Windows Server 2008 R2 x64 Edition (KB2641653)	Important	
vcorp100w	Security Update for Microsoft .NET Framework 4 on XP, Server 2003, Vista, Windows 7, Server 2008, Server 2008 R2 for x64 (KB2633870)	Critical	
vcorp100w	Security Update for Windows Server 2008 R2 x64 Edition (KB2654428)	Critical	
vcorp100w	Cumulative Security Update for Internet Explorer 9 for Windows Server 2008 R2 x64 Edition (KB2647516)	Moderate	
vcorp100w	Windows Server 2008 R2 Service Pack 1 x64 Edition (KB976932)		
vcorp100w	Windows Malicious Software Removal Tool x64 - March 2012 (KB890830)		
vcorp100w	Update Rollup for ActiveX Killbits for Windows Server 2008 R2 x64 Edition (KB2647518)		
vcorp101w	Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2633873)	Critical	
vcorp101w	Security Update for Windows Server 2008 R2 x64 Edition (KB2621440)	Critical	
vcorp101w	Security Update for Windows Server 2008 R2 x64 Edition (KB2665364)	Moderate	
vcorp101w	Security Update for Windows Server 2008 R2 x64 Edition (KB2645640)	Important	
vcorp101w	Security Update for Windows Server 2008 R2 x64 Edition (KB2667402)	Important	
vcorp101w	Security Update for Windows Server 2008 R2 x64 Edition (KB2647170)	Important	
vcorp101w	Security Update for Windows Server 2008 R2 x64 Edition (KB2643719)	Important	
vcorp101w	Security Update for Windows Server 2008 R2 x64 Edition (KB2641653)	Important	
vcorp101w	Security Update for Microsoft .NET Framework 4 on XP, Server 2003, Vista, Windows 7, Server 2008, Server 2008 R2 for x64 (KB2633870)	Critical	
vcorp101w	Security Update for Windows Server 2008 R2 x64 Edition (KB2654428)	Critical	
vcorp101w	Cumulative Security Update for Internet Explorer 9 for Windows Server 2008 R2 x64 Edition (KB2647516)	Moderate	
vcorp101w	Windows Malicious Software Removal Tool x64 - March 2012 (KB890830)		
vcorp101w	Update Rollup for ActiveX Killbits for Windows Server 2008 R2 x64 Edition (KB2647518)		
vcorp102w	Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2633873)	Critical	
vcorp102w	Security Update for Windows Server 2008 R2 x64 Edition (KB2621440)	Critical	
vcorp102w	Security Update for Windows Server 2008 R2 x64 Edition (KB2665364)	Moderate	
vcorp102w	Security Update for Windows Server 2008 R2 x64 Edition (KB2645640)	Important	
vcorp102w	Security Update for Windows Server 2008 R2 x64 Edition (KB2667402)	Important	
vcorp102w	Security Update for Windows Server 2008 R2 x64 Edition (KB2647170)	Important	
vcorp102w	Security Update for Windows Server 2008 R2 x64 Edition (KB2643719)	Important	
vcorp102w	Security Update for Windows Server 2008 R2 x64 Edition (KB2641653)	Important	
vcorp102w	Security Update for Microsoft .NET Framework 4 on XP, Server 2003, Vista, Windows 7, Server 2008, Server 2008 R2 for x64 (KB2633870)	Critical	
vcorp102w	Security Update for Windows Server 2008 R2 x64 Edition (KB2654428)	Critical	
vcorp102w	Cumulative Security Update for Internet Explorer 9 for Windows Server 2008 R2 x64 Edition (KB2647516)	Moderate	
vcorp102w	Windows Malicious Software Removal Tool x64 - March 2012 (KB890830)		
vcorp102w	Update Rollup for ActiveX Killbits for Windows Server 2008 R2 x64 Edition (KB2647518)		
vcorp103w	Security Update for Microsoft Visual C++ 2008 Service Pack 1 Redistributable Package (KB2538243)	Important	
vcorp103w	Service Pack 1 for Microsoft Office Filter Pack 2010 (KB2460041) 64-bit Edition		
vcorp103w	Security Update for Microsoft Chart Controls for Microsoft .NET Framework 3.5 Service Pack 1 (KB2500170)	Important	
vcorp103w	Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2572077)	Critical	
vcorp103w	Security Update for .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2518869)	Critical	
vcorp103w	Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2633873)	Critical	
vcorp103w	Security Update for Windows Server 2008 R2 x64 Edition (KB2621440)	Critical	
vcorp103w	Security Update for Windows Server 2008 R2 x64 Edition (KB2665364)	Moderate	
vcorp103w	Security Update for Windows Server 2008 R2 x64 Edition (KB2645640)	Important	
vcorp103w	Security Update for Windows Server 2008 R2 x64 Edition (KB2667402)	Important	
