Server	Update Name	Rating
vcorp100w	Update Rollup 7 for Exchange Server 2010 Service Pack 1 (KB2743248)	Critical	
vcorp100w	Security Update for Windows Server 2008 R2 x64 Edition (KB2719985)	Moderate	
vcorp100w	Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2656373)	Critical	
vcorp100w	Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2656411)	Low	
vcorp100w	Security Update for Windows Server 2008 R2 x64 Edition (KB2712808)	Moderate	
vcorp100w	Security Update for Windows Server 2008 R2 x64 Edition (KB2691442)	Important	
vcorp100w	Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2604115)	Critical	
vcorp100w	Security Update for Windows Server 2008 R2 x64 Edition (KB2709715)	Important	
vcorp100w	Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2686831)	Critical	
vcorp100w	Security Update for Microsoft .NET Framework 4 on XP, Server 2003, Vista, Windows 7, Server 2008, Server 2008 R2 for x64 (KB2686827)	Critical	
vcorp100w	Cumulative Security Update for Internet Explorer 9 for Windows Server 2008 R2 x64 Edition (KB2722913)	Moderate	
vcorp100w	Security Update for Windows Server 2008 R2 x64 Edition (KB2655992)	Important	
vcorp100w	Security Update for Microsoft .NET Framework 4 on XP, Server 2003, Vista, Windows 7, Server 2008, Server 2008 R2 for x64 (KB2656368)	Critical	
vcorp100w	Security Update for Windows Server 2008 R2 x64 Edition (KB2731847)	Important	
vcorp100w	Security Update for Windows Server 2008 R2 x64 Edition (KB2705219)	Moderate	
vcorp100w	Security Update for Windows Server 2008 R2 x64 Edition (KB2698365)	Moderate	
vcorp100w	Security Update for Windows Server 2008 R2 x64 Edition (KB2667402)	Critical	
vcorp100w	Security Update for Windows Server 2008 R2 x64 Edition (KB2685939)	Critical	
vcorp100w	Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2656356)	Critical	
vcorp100w	Windows Malicious Software Removal Tool x64 - August 2012 (KB890830)		
vcorp101w	Security Update for Windows Server 2008 R2 x64 Edition (KB2719985)	Moderate	
vcorp101w	Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2656373)	Critical	
vcorp101w	Security Update for Windows Server 2008 R2 x64 Edition (KB2712808)	Moderate	
vcorp101w	Security Update for Windows Server 2008 R2 x64 Edition (KB2691442)	Important	
vcorp101w	Security Update for Windows Server 2008 R2 x64 Edition (KB2709715)	Important	
vcorp101w	Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2686831)	Critical	
vcorp101w	Security Update for Microsoft .NET Framework 4 on XP, Server 2003, Vista, Windows 7, Server 2008, Server 2008 R2 for x64 (KB2686827)	Critical	
vcorp101w	Cumulative Security Update for Internet Explorer 9 for Windows Server 2008 R2 x64 Edition (KB2722913)	Moderate	
vcorp101w	Security Update for Windows Server 2008 R2 x64 Edition (KB2655992)	Important	
vcorp101w	Security Update for Microsoft .NET Framework 4 on XP, Server 2003, Vista, Windows 7, Server 2008, Server 2008 R2 for x64 (KB2656368)	Critical	
vcorp101w	Security Update for Windows Server 2008 R2 x64 Edition (KB2731847)	Important	
vcorp101w	Security Update for Windows Server 2008 R2 x64 Edition (KB2705219)	Moderate	
vcorp101w	Security Update for Windows Server 2008 R2 x64 Edition (KB2698365)	Moderate	
vcorp101w	Security Update for Windows Server 2008 R2 x64 Edition (KB2667402)	Critical	
vcorp101w	Security Update for Windows Server 2008 R2 x64 Edition (KB2685939)	Critical	
vcorp101w	Windows Malicious Software Removal Tool x64 - August 2012 (KB890830)		
vcorp102w	Security Update for Windows Server 2008 R2 x64 Edition (KB2719985)	Moderate	
vcorp102w	Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2656373)	Critical	
vcorp102w	Security Update for Windows Server 2008 R2 x64 Edition (KB2712808)	Moderate	
vcorp102w	Security Update for Windows Server 2008 R2 x64 Edition (KB2691442)	Important	
vcorp102w	Security Update for Windows Server 2008 R2 x64 Edition (KB2709715)	Important	
vcorp102w	Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2686831)	Critical	
vcorp102w	Security Update for Microsoft .NET Framework 4 on XP, Server 2003, Vista, Windows 7, Server 2008, Server 2008 R2 for x64 (KB2686827)	Critical	
vcorp102w	Cumulative Security Update for Internet Explorer 9 for Windows Server 2008 R2 x64 Edition (KB2722913)	Moderate	
vcorp102w	Security Update for Windows Server 2008 R2 x64 Edition (KB2655992)	Important	
vcorp102w	Security Update for Microsoft .NET Framework 4 on XP, Server 2003, Vista, Windows 7, Server 2008, Server 2008 R2 for x64 (KB2656368)	Critical	
vcorp102w	Security Update for Windows Server 2008 R2 x64 Edition (KB2731847)	Important	
vcorp102w	Security Update for Windows Server 2008 R2 x64 Edition (KB2705219)	Moderate	
vcorp102w	Security Update for Windows Server 2008 R2 x64 Edition (KB2698365)	Moderate	
vcorp102w	Security Update for Windows Server 2008 R2 x64 Edition (KB2667402)	Critical	
vcorp102w	Security Update for Windows Server 2008 R2 x64 Edition (KB2685939)	Critical	
vcorp102w	Windows Malicious Software Removal Tool x64 - August 2012 (KB890830)		
