Server	Update Name	Rating
vcorp100w	Update Rollup 6 for Exchange Server 2010 Service Pack 1 (KB2608646)		
vcorp100w	Security Update for Microsoft Office Outlook 2007 (KB2288953)	Important	
vcorp100w	Security Update for Microsoft Office 2007 System (KB2584063)	Important	
vcorp100w	Security Update for Microsoft Office 2007 System (KB2288931)	Important	
vcorp100w	Security Update for the 2007 Microsoft Office System (KB974234)	Important	
vcorp100w	Security Update for Microsoft Office 2007 suites (KB2596785)	Important	
vcorp100w	Security Update for the 2007 Microsoft Office System (KB969559)	Important	
vcorp100w	Security Update for the 2007 Microsoft Office System (KB976321)	Important	
vcorp100w	Security Update for the 2007 Microsoft Office System (KB2553074)	Important	
vcorp100w	Security Update for Microsoft Office PowerPoint 2007 (KB2596912)	Important	
vcorp100w	Security Update for the 2007 Microsoft Office System (KB972581)	Important	
vcorp100w	Security Update for Microsoft Office InfoPath 2007 (KB979441)	Important	
vcorp100w	Security Update for Microsoft Office Visio Viewer 2007 (KB973709)	Critical	
vcorp100w	Security Update for Microsoft Office Word 2007 (KB2344993)	Important	
vcorp100w	Security Update for the 2007 Microsoft Office System (KB2288621)	Important	
vcorp100w	Security Update for Microsoft Office 2007 System (KB2553089)	Important	
vcorp100w	Security Update for the 2007 Microsoft Office System (KB2345043)	Important	
vcorp100w	Security Update for Microsoft Office Excel 2007 (KB2553073)	Important	
vcorp100w	Security Update for Microsoft Office PowerPoint 2007 (KB2596764)	Important	
vcorp100w	Security Update for Microsoft Office 2007 System (KB2553090)	Important	
vcorp100w	Service Pack 1 for Microsoft Office Filter Pack 2010 (KB2460041) 64-bit Edition		
vcorp100w	Cumulative Security Update for Internet Explorer 8 for Windows Server 2008 R2 x64 Edition (KB2618444)	Low	
vcorp100w	Security Update for Microsoft .NET Framework 4 on Windows XP, Windows Server 2003, Windows Vista, Windows 7, Windows Server 2008, Windows Server 2008 R2 for x64-based Systems (KB2539636)	Moderate	
vcorp100w	Security Update for Windows Server 2008 R2 x64 Edition (KB2639417)	Critical	
